SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,Credit grant
109327,1,Cash loans,F,N,Y,0,112500.0,284400.0,14854.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006008,63.76438356164383,,27.117808219178084,13.32876712328767,,1,0,0,1,0,0,,2.0,2,2,MONDAY,10,0,0,0,0,0,0,XNA,,0.2894378257770153,0.7583930617144343,0.0186,0.0508,0.9851,0.7959999999999999,0.0184,0.0,0.1034,0.0417,0.0833,0.0163,0.0151,0.0185,0.0,0.0,0.0189,0.0527,0.9851,0.804,0.0185,0.0,0.1034,0.0417,0.0833,0.0167,0.0165,0.0193,0.0,0.0,0.0187,0.0508,0.9851,0.7987,0.0185,0.0,0.1034,0.0417,0.0833,0.0166,0.0154,0.0189,0.0,0.0,reg oper account,block of flats,0.0246,Block,No,0.0,0.0,0.0,0.0,-0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,not favorable
109329,0,Cash loans,F,N,N,1,81000.0,450000.0,14373.0,450000.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.018209,35.345205479452055,3.9534246575342467,13.32876712328767,14.021917808219179,,1,1,0,1,0,0,,3.0,3,3,TUESDAY,16,0,0,0,0,0,0,Industry: type 11,,0.4676448686430401,0.5513812618027899,0.0495,0.0623,0.9742,0.6464,0.0053,0.0,0.1034,0.125,0.0417,0.0051,0.0403,0.0386,0.0,0.0,0.0504,0.0646,0.9742,0.6602,0.0053,0.0,0.1034,0.125,0.0417,0.0053,0.0441,0.0402,0.0,0.0,0.05,0.0623,0.9742,0.6511,0.0053,0.0,0.1034,0.125,0.0417,0.0052,0.040999999999999995,0.0393,0.0,0.0,reg oper account,block of flats,0.039,"Stone, brick",No,2.0,0.0,2.0,0.0,1.104109589041096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,favorable
109330,0,Cash loans,M,N,Y,0,216000.0,804420.0,38830.5,706500.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.01885,28.482191780821918,0.5589041095890411,11.753424657534246,8.375342465753425,,1,1,1,1,0,0,Laborers,2.0,2,2,TUESDAY,10,0,0,0,0,0,0,Construction,0.471413898113916,0.4582665209230264,0.4083588531230431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5287671232876713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,favorable
109331,0,Cash loans,F,N,Y,1,144000.0,1256400.0,40657.5,900000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.02461,47.28219178082192,7.887671232876713,2.1095890410958904,2.202739726027397,,1,1,0,1,0,0,,3.0,2,2,TUESDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.7293679358569902,0.34090642641523844,,,0.998,,,0.24,0.1034,0.6667,,0.0294,,,,,,,0.998,,,0.2417,0.1034,0.6667,,0.0301,,,,,,,0.998,,,0.24,0.1034,0.6667,,0.0299,,,,,,block of flats,0.2207,Others,No,0.0,0.0,0.0,0.0,3.989041095890411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.0,0.0,3.0,favorable
109332,0,Revolving loans,M,Y,Y,0,157500.0,270000.0,13500.0,270000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.072508,28.575342465753426,3.1123287671232878,13.147945205479452,7.846575342465753,2.0,1,1,0,1,0,0,Laborers,1.0,1,1,WEDNESDAY,18,0,0,0,0,0,0,Business Entity Type 3,0.138272277522455,0.6681852991751258,0.2721336844147212,0.2309,0.1456,0.9851,0.7959999999999999,0.0881,0.2664,0.1838,0.4442,0.4583,0.0,0.1874,0.2496,0.0039,0.0046,0.1513,0.1103,0.9821,0.7648,0.055,0.3222,0.1379,0.3333,0.375,0.0,0.1313,0.1463,0.0039,0.0022,0.2498,0.1298,0.9821,0.7585,0.0983,0.32,0.1379,0.3333,0.375,0.0,0.2044,0.3068,0.0039,0.0056,reg oper account,block of flats,0.2384,Panel,No,0.0,0.0,0.0,0.0,4.235616438356164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,favorable
109333,0,Cash loans,M,Y,N,0,76500.0,315666.0,23728.5,292500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,27.936986301369863,4.153424657534247,10.778082191780822,7.824657534246575,12.0,1,1,0,1,0,0,Drivers,2.0,3,3,TUESDAY,14,0,0,0,0,0,0,Self-employed,,0.5350091713738154,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.435616438356164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,6.0,favorable
109334,0,Cash loans,F,N,Y,0,270000.0,1223010.0,48631.5,1125000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329,54.865753424657534,,29.983561643835618,9.484931506849316,,1,0,0,1,0,0,,2.0,2,2,FRIDAY,7,0,0,0,0,0,0,XNA,,0.6242996083403575,,0.2948,0.1856,0.9851,,,0.32,0.2759,0.3333,,0.2366,,0.3109,,0.0072,0.3004,0.1926,0.9851,,,0.3222,0.2759,0.3333,,0.242,,0.324,,0.0076,0.2977,0.1856,0.9851,,,0.32,0.2759,0.3333,,0.2408,,0.3165,,0.0074,,block of flats,0.2927,Panel,No,0.0,0.0,0.0,0.0,0.049315068493150684,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,favorable
109335,0,Cash loans,F,N,N,0,103500.0,802773.0,26658.0,693000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.007114,51.293150684931504,,25.64109589041096,6.213698630136986,,1,0,0,1,0,0,,2.0,2,2,FRIDAY,17,0,0,0,0,0,0,XNA,,0.5914765284497697,,0.0969,,0.9866,,,,0.0345,0.2083,,0.0356,,0.0388,,0.0234,0.0987,,0.9866,,,,0.0345,0.2083,,0.0364,,0.0404,,0.0248,0.0978,,0.9866,,,,0.0345,0.2083,,0.0362,,0.0394,,0.0239,,block of flats,0.049,"Stone, brick",No,1.0,0.0,1.0,0.0,5.564383561643836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,favorable
109337,0,Cash loans,F,N,N,0,119677.5,568800.0,15772.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018029,54.32876712328767,33.89041095890411,12.24931506849315,9.221917808219178,,1,1,0,1,0,0,High skill tech staff,1.0,3,3,TUESDAY,13,0,0,0,0,0,0,Industry: type 9,0.7016546928457401,0.3819456791829068,0.4382813743111921,0.0722,0.1258,0.9881,0.8368,0.0224,0.0,0.2414,0.1667,0.2083,0.0,0.0588,0.0947,0.0,0.0565,0.0735,0.1306,0.9881,0.8432,0.0227,0.0,0.2414,0.1667,0.2083,0.0,0.0643,0.0987,0.0,0.0598,0.0729,0.1258,0.9881,0.8390000000000001,0.0226,0.0,0.2414,0.1667,0.2083,0.0,0.0599,0.0964,0.0,0.0577,reg oper account,terraced house,0.0881,Panel,No,0.0,0.0,0.0,0.0,0.005479452054794521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,favorable
109338,0,Cash loans,F,N,Y,0,112500.0,518562.0,26604.0,463500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.002042,27.06027397260274,2.1095890410958904,2.9643835616438357,1.3616438356164384,,1,1,0,1,0,0,Sales staff,2.0,3,3,TUESDAY,11,0,0,0,0,0,0,Self-employed,0.4924964276397814,0.10671384102032436,,0.0825,0.0645,0.9762,,,0.0,0.1379,0.1667,,0.068,,0.0624,,0.0725,0.084,0.067,0.9762,,,0.0,0.1379,0.1667,,0.0695,,0.065,,0.0767,0.0833,0.0645,0.9762,,,0.0,0.1379,0.1667,,0.0692,,0.0636,,0.07400000000000001,,block of flats,0.0649,"Stone, brick",No,0.0,0.0,0.0,0.0,1.663013698630137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,favorable
